,Unnamed: 0,name,rating,reviews,ctype,hq,old,employees
0,0.0,TCS,3.9,(50k Reviews),Public,"Mumbai,Maharashtra + 277 more",54 years old,1 Lakh+ Employees (India)
1,1.0,Accenture,4.1,(32.5k Reviews),Public,Dublin + 142 more,33 years old,1 Lakh+ Employees (India)
2,2.0,Cognizant,3.9,(29.8k Reviews),Private,Teaneck. New Jersey. + 99 more,28 years old,1 Lakh+ Employees (India)
3,3.0,ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
4,4.0,HDFC Bank,4.0,(40.1k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
5,5.0,Wipro,3.9,(28.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,1 Lakh+ Employees (India)
6,6.0,Infosys,3.9,(28.4k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
7,7.0,Capgemini,3.9,(24.1k Reviews),Public,Paris + 78 more,55 years old,1 Lakh+ Employees (India)
8,8.0,Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 214 more",36 years old,50k-1 Lakh Employees (India)
9,9.0,Genpact,4.0,(21.2k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
10,10.0,HCLTech,3.8,(18.6k Reviews),Public,Noida + 142 more,31 years old,1 Lakh+ Employees (India)
11,11.0,Amazon,4.3,(18.4k Reviews),Public,"Seattle,Washington + 384 more",28 years old,1 Lakh+ Employees (India)
12,12.0,Axis Bank,3.9,(19.2k Reviews),Public,"Mumbai,Maharashtra + 1074 more",29 years old,1 Lakh+ Employees (India)
13,13.0,IBM,4.2,(15.7k Reviews),Public,"Armonk,New York + 120 more",111 years old,1 Lakh+ Employees (India)
14,14.0,Concentrix Corpo...,4.1,(15.2k Reviews),Public,"Fremont,California + 69 more",39 years old,10k-50k Employees (India)
15,15.0,Reliance jio,4.0,(15.1k Reviews),Public,"Navi Mumbai,Maharashtra + 967 more",15 years old,50k-1 Lakh Employees (India)
16,16.0,Larsen & Toubro ...,4.1,(24.9k Reviews),Public,"Mumbai,Maharashtra + 524 more",84 years old,10k-50k Employees (India)
17,17.0,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 562 more",4 years old,10k-50k Employees (India)
18,18.0,HDB Financial Se...,4.0,(13.5k Reviews),Private,"Ahmedabad,Gujrat + 775 more",15 years old,1 Lakh+ Employees (India)
19,19.0,Teleperformance,3.6,(14.5k Reviews),Private,Paris + 123 more,44 years old,50k-1 Lakh Employees (India)
20,20.0,Kotak Mahindra B...,3.9,(13.8k Reviews),Public,"Mumbai,Maharashtra + 470 more",19 years old,50k-1 Lakh Employees (India)
21,21.0,Reliance Industr...,4.1,(44.1k Reviews),Public,"Navi Mumbai,Maharashtra + 487 more",49 years old,1 Lakh+ Employees (India)
22,22.0,Bharti Airtel,4.1,(12.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 510 more",27 years old,10k-50k Employees (India)
23,23.0,Reliance Retail,4.1,(15.8k Reviews),Private,"Navi Mumbai,Maharashtra + 651 more",16 years old,1 Lakh+ Employees (India)
24,24.0,Deloitte,4.1,(10.4k Reviews),Private,"New York,New York + 134 more",177 years old,50k-1 Lakh Employees (India)
25,25.0,Tata Motors,4.1,(12.5k Reviews),Public,"Pune,Maharashtra + 392 more",77 years old,10k-50k Employees (India)
26,26.0,BYJU'S,3.5,(12.1k Reviews),Private,"Bangalore,Karnataka + 204 more",11 years old,1k-5k Employees (India)
27,27.0,WNS,3.7,(7k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India)
